model,curve,x,y
DG-Hetero-GNN,PR,1.0,0.5555555555555556
DG-Hetero-GNN,PR,1.0,0.5681818181818182
DG-Hetero-GNN,PR,1.0,0.5813953488372093
DG-Hetero-GNN,PR,0.96,0.5714285714285714
DG-Hetero-GNN,PR,0.96,0.5853658536585366
DG-Hetero-GNN,PR,0.92,0.575
DG-Hetero-GNN,PR,0.92,0.5897435897435898
DG-Hetero-GNN,PR,0.92,0.6052631578947368
DG-Hetero-GNN,PR,0.88,0.5945945945945946
DG-Hetero-GNN,PR,0.88,0.6111111111111112
DG-Hetero-GNN,PR,0.88,0.6285714285714286
DG-Hetero-GNN,PR,0.88,0.6470588235294118
DG-Hetero-GNN,PR,0.88,0.6666666666666666
DG-Hetero-GNN,PR,0.84,0.65625
DG-Hetero-GNN,PR,0.8,0.6451612903225806
DG-Hetero-GNN,PR,0.8,0.6666666666666666
DG-Hetero-GNN,PR,0.8,0.6896551724137931
DG-Hetero-GNN,PR,0.76,0.6785714285714286
DG-Hetero-GNN,PR,0.72,0.6666666666666666
DG-Hetero-GNN,PR,0.68,0.6538461538461539
DG-Hetero-GNN,PR,0.64,0.64
DG-Hetero-GNN,PR,0.64,0.6666666666666666
DG-Hetero-GNN,PR,0.64,0.6956521739130435
DG-Hetero-GNN,PR,0.64,0.7272727272727273
DG-Hetero-GNN,PR,0.6,0.7142857142857143
DG-Hetero-GNN,PR,0.56,0.7
DG-Hetero-GNN,PR,0.56,0.7368421052631579
DG-Hetero-GNN,PR,0.52,0.7222222222222222
DG-Hetero-GNN,PR,0.48,0.7058823529411765
DG-Hetero-GNN,PR,0.48,0.75
DG-Hetero-GNN,PR,0.48,0.8
DG-Hetero-GNN,PR,0.44,0.7857142857142857
DG-Hetero-GNN,PR,0.44,0.8461538461538461
DG-Hetero-GNN,PR,0.4,0.8333333333333334
DG-Hetero-GNN,PR,0.36,0.8181818181818182
DG-Hetero-GNN,PR,0.32,0.8
DG-Hetero-GNN,PR,0.32,0.8888888888888888
DG-Hetero-GNN,PR,0.28,0.875
DG-Hetero-GNN,PR,0.24,0.8571428571428571
DG-Hetero-GNN,PR,0.2,0.8333333333333334
DG-Hetero-GNN,PR,0.16,0.8
DG-Hetero-GNN,PR,0.12,0.75
DG-Hetero-GNN,PR,0.08,0.6666666666666666
DG-Hetero-GNN,PR,0.04,0.5
DG-Hetero-GNN,PR,0.04,1.0
DG-Hetero-GNN,PR,0.0,1.0
DG-Hetero-GNN,ROC,0.0,0.0
DG-Hetero-GNN,ROC,0.0,0.04
DG-Hetero-GNN,ROC,0.05,0.04
DG-Hetero-GNN,ROC,0.05,0.32
DG-Hetero-GNN,ROC,0.1,0.32
DG-Hetero-GNN,ROC,0.1,0.44
DG-Hetero-GNN,ROC,0.15,0.44
DG-Hetero-GNN,ROC,0.15,0.48
DG-Hetero-GNN,ROC,0.25,0.48
DG-Hetero-GNN,ROC,0.25,0.56
DG-Hetero-GNN,ROC,0.3,0.56
DG-Hetero-GNN,ROC,0.3,0.64
DG-Hetero-GNN,ROC,0.45,0.64
DG-Hetero-GNN,ROC,0.45,0.8
DG-Hetero-GNN,ROC,0.55,0.8
DG-Hetero-GNN,ROC,0.55,0.88
DG-Hetero-GNN,ROC,0.75,0.88
DG-Hetero-GNN,ROC,0.75,0.92
DG-Hetero-GNN,ROC,0.85,0.92
DG-Hetero-GNN,ROC,0.85,0.96
DG-Hetero-GNN,ROC,0.9,0.96
DG-Hetero-GNN,ROC,0.9,1.0
DG-Hetero-GNN,ROC,1.0,1.0
GAT,PR,1.0,0.5555555555555556
GAT,PR,0.96,0.5454545454545454
GAT,PR,0.92,0.5348837209302325
GAT,PR,0.88,0.5238095238095238
GAT,PR,0.84,0.5121951219512195
GAT,PR,0.8,0.5
GAT,PR,0.76,0.48717948717948717
GAT,PR,0.72,0.47368421052631576
GAT,PR,0.72,0.4864864864864865
GAT,PR,0.68,0.4722222222222222
GAT,PR,0.64,0.45714285714285713
GAT,PR,0.6,0.4411764705882353
GAT,PR,0.56,0.42424242424242425
