[2026-08-30T11:20:00+00:00] RUN paper-full-20260830 | minimal-diff-notebook | FULL_PAPER_RUN | artifacts=D:\Rayan Paper materials\artifacts_runs\minimal-diff-notebook\FULL_PAPER_RUN\paper-full-20260830 | cuda=0MiB allocated/0MiB reserved
[2026-08-30T11:20:00+00:00] START LODO0 | DG-Hetero-GNN | seed=42 | cuda=0MiB allocated/0MiB reserved
[2026-08-30T11:20:01+00:00] epoch 1/40 loss=0.397004 elapsed=0.8s | cuda=583MiB allocated/4676MiB reserved
[2026-08-30T11:20:02+00:00] epoch 2/40 loss=0.377409 elapsed=1.3s | cuda=583MiB allocated/4816MiB reserved
[2026-08-30T11:20:02+00:00] epoch 3/40 loss=0.361127 elapsed=1.8s | cuda=583MiB allocated/4816MiB reserved
[2026-08-30T11:20:03+00:00] epoch 4/40 loss=0.347752 elapsed=2.3s | cuda=583MiB allocated/4816MiB reserved
[2026-08-30T11:20:03+00:00] epoch 5/40 loss=0.334219 elapsed=2.8s | cuda=583MiB allocated/4816MiB reserved
[2026-08-30T11:20:04+00:00] epoch 6/40 loss=0.320297 elapsed=3.3s | cuda=583MiB allocated/4816MiB reserved
[2026-08-30T11:20:04+00:00] epoch 7/40 loss=0.305849 elapsed=3.8s | cuda=583MiB allocated/4816MiB reserved
[2026-08-30T11:20:05+00:00] epoch 8/40 loss=0.290547 elapsed=4.3s | cuda=583MiB allocated/4816MiB reserved
[2026-08-30T11:20:05+00:00] epoch 9/40 loss=0.274293 elapsed=4.7s | cuda=583MiB allocated/4816MiB reserved
[2026-08-30T11:20:06+00:00] epoch 10/40 loss=0.258246 elapsed=5.2s | cuda=583MiB allocated/4816MiB reserved
[2026-08-30T11:20:06+00:00] epoch 11/40 loss=0.243203 elapsed=5.7s | cuda=583MiB allocated/4816MiB reserved
[2026-08-30T11:20:07+00:00] epoch 12/40 loss=0.228815 elapsed=6.2s | cuda=583MiB allocated/4816MiB reserved
[2026-08-30T11:20:07+00:00] epoch 13/40 loss=0.217349 elapsed=6.7s | cuda=583MiB allocated/4816MiB reserved
[2026-08-30T11:20:08+00:00] epoch 14/40 loss=0.209469 elapsed=7.2s | cuda=583MiB allocated/4816MiB reserved
[2026-08-30T11:20:08+00:00] epoch 15/40 loss=0.204969 elapsed=7.7s | cuda=583MiB allocated/4816MiB reserved
[2026-08-30T11:20:09+00:00] epoch 16/40 loss=0.204390 elapsed=8.2s | cuda=583MiB allocated/4816MiB reserved
[2026-08-30T11:20:09+00:00] epoch 17/40 loss=0.206826 elapsed=8.7s | cuda=583MiB allocated/4816MiB reserved
